date,time,temperature_celsius,humidity_percent,conditions
2026-03-01,06:00,14.2,71,clear
2026-03-01,12:00,21.8,55,clear
2026-03-01,18:00,17.5,63,cloudy
2026-03-02,06:00,13.9,74,fog
2026-03-02,12:00,20.4,58,cloudy
2026-03-02,18:00,16.8,66,rain
2026-03-03,06:00,12.7,80,rain
2026-03-03,12:00,18.9,62,cloudy
2026-03-03,18:00,15.4,70,clear
2026-03-04,06:00,13.1,76,fog
2026-03-04,12:00,22.6,51,clear
2026-03-04,18:00,18.2,60,clear
2026-03-05,06:00,14.8,69,cloudy
2026-03-05,12:00,23.1,49,clear
2026-03-05,18:00,19.0,57,clear
2026-03-06,06:00,15.2,68,cloudy
2026-03-06,12:00,21.3,54,rain
2026-03-06,18:00,17.1,65,rain
2026-03-07,06:00,13.5,78,rain
2026-03-07,12:00,19.6,61,cloudy
2026-03-07,18:00,16.0,67,cloudy
2026-03-08,06:00,14.0,72,fog
2026-03-08,12:00,22.0,52,clear
2026-03-08,18:00,18.7,59,clear
2026-03-09,06:00,15.5,66,clear
2026-03-09,12:00,24.2,46,clear
2026-03-09,18:00,19.8,55,cloudy
2026-03-10,06:00,14.6,70,cloudy
2026-03-10,12:00,20.9,56,rain
2026-03-10,18:00,16.4,68,rain
2026-03-11,06:00,12.9,81,rain
2026-03-11,12:00,18.3,64,cloudy
2026-03-11,18:00,15.7,69,clear
2026-03-12,06:00,13.8,75,fog
2026-03-12,12:00,21.5,53,clear
2026-03-12,18:00,17.9,61,clear
2026-03-13,06:00,14.4,71,clear
2026-03-13,12:00,23.4,48,clear
2026-03-13,18:00,19.2,58,cloudy
2026-03-14,06:00,15.0,67,cloudy
